date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,UpperBB,LowerBB,volatility,rsi,macd
2016-12-13,780.646973,788.460022,777.961975,780.55603,780.55603,81645600.0,81645600.0,-0.09094,-0.012,782.32601,"December 13, 16",-0.00012,793.4932710944024,672.1496536655975,9.401176498234678,65.52503383807795,14.223182971610072
2016-12-14,780.005005,782.033997,776.838989,781.481018,781.481018,75979000.0,75979000.0,1.47601,0.189,780.118,"December 14, 16",0.00189,793.4993845313437,677.0992604286563,7.381537219206563,65.89189522140035,14.15555408689113
2016-12-15,780.070007,781.434998,777.802002,778.088013,778.088013,81580096.0,81580096.0,-1.98199,-0.254,779.10834,"December 15, 16",-0.00254,794.3499695675723,680.2400352724276,6.308669601621287,63.233741370835915,13.670584572232428
2016-12-16,778.963013,785.031982,778.963013,784.906982,784.906982,83608200.0,83608200.0,5.94397,0.763,782.96733,"December 16, 16",0.00763,796.0532224866992,682.4005421133007,6.922209110171038,66.1860572814488,13.67879590322923
2016-12-17,785.166016,792.508972,784.864014,790.828979,790.828979,78989800.0,78989800.0,5.66296,0.721,789.40065,"December 17, 16",0.00721,798.0769750529591,684.4239086670409,8.18299164892949,68.54813378297003,14.001755585312594
2016-12-18,791.007996,794.737,788.026001,790.530029,790.530029,60524400.0,60524400.0,-0.47797,-0.06,791.09768,"December 18, 16",-0.0006,800.7330716607485,684.8098530592515,9.103602051715281,68.28879786404397,14.071374645801598
2016-12-19,790.692017,793.611023,790.320007,792.713989,792.713989,74886400.0,74886400.0,2.02197,0.256,792.21501,"December 19, 16",0.00256,803.0100312257574,686.1668924942427,8.661511615282631,69.20538266994248,14.139780979281113
2016-12-20,792.247009,801.336975,791.497009,800.875977,800.875977,99629296.0,99629296.0,8.62897,1.089,797.90332,"December 20, 16",0.01089,805.7483732334401,687.4247101665599,9.443210296440974,72.41444153643448,14.68333733765644
2016-12-21,800.643982,834.281006,799.405029,834.281006,834.281006,155576000.0,155576000.0,33.63702,4.201,822.65568,"December 21, 16",0.04201,812.6063909662897,684.7462114737101,16.010090803549524,81.09681470815994,17.606657739943103
2016-12-22,834.179993,875.781982,834.148987,864.539978,864.539978,200027008.0,200027008.0,30.35999,3.64,858.15698,"December 22, 16",0.0364,822.9343028364435,679.3667395635564,25.243244008321334,85.53732040988375,22.110183938430282
2016-12-23,864.888,925.117004,864.677002,921.984009,921.984009,275564000.0,275564000.0,57.09601,6.602,903.926,"December 23, 16",0.06602,840.244047154915,671.3883551250847,41.132513647617756,90.22960967000434,29.96904957042534
2016-12-24,922.179993,923.479004,886.335022,898.822021,898.822021,137727008.0,137727008.0,-23.35797,-2.533,902.87868,"December 24, 16",-0.02533,851.9740828393329,667.481800880667,46.98438397479372,79.08767903876628,33.93707289383542
2016-12-25,899.651978,899.651978,862.424011,896.182983,896.182983,143664992.0,143664992.0,-3.46899,-0.386,886.08632,"December 25, 16",-0.00386,862.121765231438,665.0447166085622,50.0268856617363,77.90723967425393,36.448654256691384
2016-12-26,896.905029,913.184021,896.89801,907.609985,907.609985,123771000.0,123771000.0,10.70496,1.194,905.89734,"December 26, 16",0.01194,872.9524894740844,662.0575128459157,53.23081255181643,79.34482946841331,38.912603868539236
2016-12-27,908.354004,940.047974,904.255005,933.197998,933.197998,167308000.0,167308000.0,24.84399,2.735,925.83366,"December 27, 16",0.02735,885.8412300797212,658.3714529202788,57.405808002553776,82.14638986462134,42.44080925823732
2016-12-28,934.830994,975.921021,934.830994,975.921021,975.921021,236630000.0,236630000.0,41.09003,4.395,962.22435,"December 28, 16",0.04395,903.5019077080584,651.3536952519413,64.38716935425046,85.64687195119262,48.129521193092046
2016-12-29,975.125,979.396973,954.502991,973.497009,973.497009,199320000.0,199320000.0,-1.62799,-0.167,969.13232,"December 29, 16",-0.00167,919.1482793306087,645.7162835893915,67.30794596573132,84.63296328830779,51.844636182586896
2016-12-30,972.534973,972.534973,934.833008,961.237976,961.237976,187474000.0,187474000.0,-11.297,-1.162,956.20199,"December 30, 16",-0.01162,931.6975970635854,642.9951250164147,66.89173705370044,79.50674125342867,53.18658818652057
2016-12-31,960.627014,963.742981,947.236023,963.742981,963.742981,99135104.0,99135104.0,3.11597,0.324,958.24066,"December 31, 16",0.00324,943.5104148118878,641.0755860681122,64.928458573247,79.77630129741064,53.83168957779037
2017-01-01,963.65802,1003.080017,958.698975,998.325012,998.325012,147775008.0,147775008.0,34.66699,3.597,986.70133,"January 01, 17",0.03597,958.0654202077051,638.2514205122948,63.32397536586192,83.084272738145,56.482324883454226
2017-01-02,998.617004,1031.390015,996.702026,1021.75,1021.75,222184992.0,222184992.0,23.133,2.317,1016.61401,"January 02, 17",0.02317,974.052389149377,635.0532113306228,60.758602719406866,84.88750214770359,59.784020249618834
2017-01-03,1021.599976,1044.079956,1021.599976,1043.839966,1043.839966,185168000.0,185168000.0,22.23999,2.177,1036.50663,"January 03, 17",0.02177,991.3517762032939,631.3065830767064,57.392030258915284,86.36373876591442,63.4516817672735
2017-01-04,1044.400024,1159.420044,1044.400024,1154.72998,1154.72998,344945984.0,344945984.0,110.32996,10.564,1119.51668,"January 04, 17",0.10564,1022.4348779409518,617.9479197790483,71.76963966254982,91.07622722278055,74.44803670256113
2017-01-05,1156.72998,1191.099976,910.416992,1013.380005,1013.380005,510199008.0,510199008.0,-143.34998,-12.393,1038.29899,"January 05, 17",-0.12393,1033.8041839120017,617.3458940879982,66.90288762198158,61.77180057595488,70.93922234470881
2017-01-06,1014.23999,1046.810059,883.94397,902.200989,902.200989,351876000.0,351876000.0,-112.039,-11.047,944.31834,"January 06, 17",-0.11047,1036.674522326315,620.9245156336854,68.22504019163118,48.541896149667316,58.512745747021654
2017-01-07,903.487,908.585022,823.55603,908.585022,908.585022,279550016.0,279550016.0,5.09802,0.564,880.24202,"January 07, 17",0.00564,1039.7969812079534,624.0820567520466,67.49285652782176,49.21450582399456,48.619357931203695
2017-01-08,908.174988,942.723999,887.249023,911.198975,911.198975,158715008.0,158715008.0,3.02399,0.333,913.724,"January 08, 17",0.00333,1042.855237470559,627.4071183694412,66.33644272898759,49.505537605516196,40.522581871161606
2017-01-09,913.244019,913.685974,879.807007,902.828003,902.828003,141876992.0,141876992.0,-10.41602,-1.141,898.77366,"January 09, 17",-0.01141,1044.9418315565042,632.1926043634958,66.70093615408399,48.546097524899544,33.0493882529388
2017-01-10,902.440002,914.872986,901.059998,907.679016,907.679016,115808000.0,115808000.0,5.23901,0.581,907.87067,"January 10, 17",0.00581,1047.1889216576603,636.6827554623396,68.17887389743686,49.160994497839106,27.204666218685134
