,end,start,tweet_count
230,2018-08-27T00:00:00.000Z,2018-08-26T00:00:00.000Z,41912
231,2018-08-28T00:00:00.000Z,2018-08-27T00:00:00.000Z,53913
232,2018-08-30T00:00:00.000Z,2018-08-29T00:00:00.000Z,55084
233,2018-08-31T00:00:00.000Z,2018-08-30T00:00:00.000Z,56652
234,2018-09-01T00:00:00.000Z,2018-08-31T00:00:00.000Z,54277
235,2018-09-02T00:00:00.000Z,2018-09-01T00:00:00.000Z,45119
236,2018-09-03T00:00:00.000Z,2018-09-02T00:00:00.000Z,44201
237,2018-09-04T00:00:00.000Z,2018-09-03T00:00:00.000Z,51606
238,2018-09-05T00:00:00.000Z,2018-09-04T00:00:00.000Z,54737
239,2018-09-06T00:00:00.000Z,2018-09-05T00:00:00.000Z,58581
240,2018-09-07T00:00:00.000Z,2018-09-06T00:00:00.000Z,61833
241,2018-09-08T00:00:00.000Z,2018-09-07T00:00:00.000Z,51327
242,2018-09-09T00:00:00.000Z,2018-09-08T00:00:00.000Z,41216
243,2018-09-10T00:00:00.000Z,2018-09-09T00:00:00.000Z,41758
244,2018-09-11T00:00:00.000Z,2018-09-10T00:00:00.000Z,51263
245,2018-09-12T00:00:00.000Z,2018-09-11T00:00:00.000Z,52981
246,2018-09-13T00:00:00.000Z,2018-09-12T00:00:00.000Z,51268
247,2018-09-14T00:00:00.000Z,2018-09-13T00:00:00.000Z,54597
248,2018-09-15T00:00:00.000Z,2018-09-14T00:00:00.000Z,49072
249,2018-09-16T00:00:00.000Z,2018-09-15T00:00:00.000Z,42060
250,2018-09-17T00:00:00.000Z,2018-09-16T00:00:00.000Z,42728
251,2018-09-18T00:00:00.000Z,2018-09-17T00:00:00.000Z,51944
252,2018-09-19T00:00:00.000Z,2018-09-18T00:00:00.000Z,48264
253,2018-09-20T00:00:00.000Z,2018-09-19T00:00:00.000Z,52279
254,2018-09-21T00:00:00.000Z,2018-09-20T00:00:00.000Z,53892
255,2018-09-22T00:00:00.000Z,2018-09-21T00:00:00.000Z,55872
256,2018-09-23T00:00:00.000Z,2018-09-22T00:00:00.000Z,41784
257,2018-09-24T00:00:00.000Z,2018-09-23T00:00:00.000Z,41144
258,2018-09-25T00:00:00.000Z,2018-09-24T00:00:00.000Z,48062
259,2018-09-26T00:00:00.000Z,2018-09-25T00:00:00.000Z,55627
260,2018-09-27T00:00:00.000Z,2018-09-26T00:00:00.000Z,52355
261,2018-09-29T00:00:00.000Z,2018-09-28T00:00:00.000Z,48333
262,2018-09-30T00:00:00.000Z,2018-09-29T00:00:00.000Z,37293
263,2018-10-01T00:00:00.000Z,2018-09-30T00:00:00.000Z,36396
264,2018-10-02T00:00:00.000Z,2018-10-01T00:00:00.000Z,45665
265,2018-10-03T00:00:00.000Z,2018-10-02T00:00:00.000Z,44707
266,2018-10-04T00:00:00.000Z,2018-10-03T00:00:00.000Z,48592
267,2018-10-05T00:00:00.000Z,2018-10-04T00:00:00.000Z,48732
268,2018-10-06T00:00:00.000Z,2018-10-05T00:00:00.000Z,49106
269,2018-10-07T00:00:00.000Z,2018-10-06T00:00:00.000Z,41406
270,2018-10-08T00:00:00.000Z,2018-10-07T00:00:00.000Z,36427
271,2018-10-09T00:00:00.000Z,2018-10-08T00:00:00.000Z,48443
272,2018-10-10T00:00:00.000Z,2018-10-09T00:00:00.000Z,49385
273,2018-10-11T00:00:00.000Z,2018-10-10T00:00:00.000Z,50832
274,2018-10-12T00:00:00.000Z,2018-10-11T00:00:00.000Z,54741
275,2018-10-13T00:00:00.000Z,2018-10-12T00:00:00.000Z,46450
276,2018-10-14T00:00:00.000Z,2018-10-13T00:00:00.000Z,38672
277,2018-10-15T00:00:00.000Z,2018-10-14T00:00:00.000Z,39275
278,2018-10-16T00:00:00.000Z,2018-10-15T00:00:00.000Z,57189
279,2018-10-17T00:00:00.000Z,2018-10-16T00:00:00.000Z,52284
280,2018-10-18T00:00:00.000Z,2018-10-17T00:00:00.000Z,48425
281,2018-10-19T00:00:00.000Z,2018-10-18T00:00:00.000Z,48637
282,2018-10-20T00:00:00.000Z,2018-10-19T00:00:00.000Z,42418
283,2018-10-21T00:00:00.000Z,2018-10-20T00:00:00.000Z,37143
284,2018-10-22T00:00:00.000Z,2018-10-21T00:00:00.000Z,36516
285,2018-10-23T00:00:00.000Z,2018-10-22T00:00:00.000Z,48894
286,2018-10-24T00:00:00.000Z,2018-10-23T00:00:00.000Z,60163
287,2018-10-25T00:00:00.000Z,2018-10-24T00:00:00.000Z,48972
288,2018-10-26T00:00:00.000Z,2018-10-25T00:00:00.000Z,46222
289,2018-10-27T00:00:00.000Z,2018-10-26T00:00:00.000Z,47190
290,2018-10-29T00:00:00.000Z,2018-10-28T00:00:00.000Z,36655
291,2018-10-30T00:00:00.000Z,2018-10-29T00:00:00.000Z,48374
292,2018-10-31T00:00:00.000Z,2018-10-30T00:00:00.000Z,51175
293,2018-11-01T00:00:00.000Z,2018-10-31T00:00:00.000Z,69403
294,2018-11-02T00:00:00.000Z,2018-11-01T00:00:00.000Z,58399
295,2018-11-03T00:00:00.000Z,2018-11-02T00:00:00.000Z,47724
296,2018-11-04T00:00:00.000Z,2018-11-03T00:00:00.000Z,35365
297,2018-11-05T00:00:00.000Z,2018-11-04T00:00:00.000Z,36339
298,2018-11-06T00:00:00.000Z,2018-11-05T00:00:00.000Z,45899
299,2018-11-07T00:00:00.000Z,2018-11-06T00:00:00.000Z,51342
300,2018-11-08T00:00:00.000Z,2018-11-07T00:00:00.000Z,48039
301,2018-11-09T00:00:00.000Z,2018-11-08T00:00:00.000Z,47726
302,2018-11-10T00:00:00.000Z,2018-11-09T00:00:00.000Z,46088
303,2018-11-11T00:00:00.000Z,2018-11-10T00:00:00.000Z,36726
304,2018-11-12T00:00:00.000Z,2018-11-11T00:00:00.000Z,34759
305,2018-11-13T00:00:00.000Z,2018-11-12T00:00:00.000Z,44016
306,2018-11-14T00:00:00.000Z,2018-11-13T00:00:00.000Z,46794
307,2018-11-15T00:00:00.000Z,2018-11-14T00:00:00.000Z,57124
308,2018-11-16T00:00:00.000Z,2018-11-15T00:00:00.000Z,62027
309,2018-11-17T00:00:00.000Z,2018-11-16T00:00:00.000Z,53145
310,2018-11-18T00:00:00.000Z,2018-11-17T00:00:00.000Z,41359
311,2018-11-19T00:00:00.000Z,2018-11-18T00:00:00.000Z,40730
312,2018-11-20T00:00:00.000Z,2018-11-19T00:00:00.000Z,67414
313,2018-11-21T00:00:00.000Z,2018-11-20T00:00:00.000Z,75565
314,2018-11-22T00:00:00.000Z,2018-11-21T00:00:00.000Z,62808
315,2018-11-23T00:00:00.000Z,2018-11-22T00:00:00.000Z,55118
316,2018-11-24T00:00:00.000Z,2018-11-23T00:00:00.000Z,53663
317,2018-11-25T00:00:00.000Z,2018-11-24T00:00:00.000Z,47513
318,2018-11-26T00:00:00.000Z,2018-11-25T00:00:00.000Z,61160
319,2018-11-28T00:00:00.000Z,2018-11-27T00:00:00.000Z,63963
320,2018-11-29T00:00:00.000Z,2018-11-28T00:00:00.000Z,59252
321,2018-11-30T00:00:00.000Z,2018-11-29T00:00:00.000Z,53065
322,2018-12-01T00:00:00.000Z,2018-11-30T00:00:00.000Z,50725
323,2018-12-02T00:00:00.000Z,2018-12-01T00:00:00.000Z,40422
