,start,tweet_count,sentimentscore
393,2019-02-11,39252,3.086630387047
394,2019-02-12,39901,3.1272650656467
395,2019-02-13,43659,4.55159437218
396,2019-02-14,45608,6.145158513486
397,2019-02-15,41095,3.99233365156
398,2019-02-16,32591,2.736544496029
399,2019-02-17,32365,4.679225258781
400,2019-02-18,43445,7.219749225373
401,2019-02-19,46925,4.20922075217
402,2019-02-20,51114,3.401413135936
403,2019-02-21,43703,9.8183082971787
404,2019-02-22,42377,4.676561687526
405,2019-02-23,37996,5.93408351538
406,2019-02-25,44238,2.339238701272
407,2019-02-26,42063,4.368344748147
408,2019-02-27,41451,3.668507599492
409,2019-02-28,40913,3.930252262796
410,2019-03-01,40375,6.5497069276160005
411,2019-03-02,33442,4.603988103873
412,2019-03-03,31340,3.66080125122
413,2019-03-04,40928,4.690878232096
414,2019-03-05,41874,5.915399835661
415,2019-03-06,39072,5.532212794602
416,2019-03-07,42861,4.751579952812
417,2019-03-08,37531,4.127479237569
418,2019-03-09,34547,4.269948243962
419,2019-03-10,33600,5.00943901538
420,2019-03-11,37075,2.596674652862
421,2019-03-12,38720,3.2392639893440003
422,2019-03-13,37934,4.26095924971
423,2019-03-14,38822,5.7505182800617005
424,2019-03-15,40091,5.521091135383
425,2019-03-16,34991,3.3483707617047003
426,2019-03-17,31368,5.481821363826
427,2019-03-18,44611,3.3290122643410003
428,2019-03-19,45138,5.774207521103
429,2019-03-20,46087,4.68224053314
430,2019-03-21,47726,6.5181101621887
431,2019-03-22,41552,7.0671164597730005
432,2019-03-23,36370,6.614646480661701
433,2019-03-24,31799,5.34575786915
434,2019-03-25,36856,6.638902598946999
435,2019-03-27,37885,4.992947705291
436,2019-03-28,39101,4.24610293077
437,2019-03-29,39904,4.573817474966
438,2019-03-30,35301,1.602663448484
439,2019-03-31,29265,7.120937786721
440,2019-04-01,38277,5.620158306984701
441,2019-04-02,69196,8.495163059151999
442,2019-04-03,63533,5.2785472879910005
443,2019-04-04,48455,5.1692338511617
444,2019-04-05,45245,3.4255422672217004
445,2019-04-06,39697,8.345815322976
446,2019-04-07,37540,4.543717260702
447,2019-04-08,44857,7.2117045944516995
448,2019-04-09,48862,5.32633289722
449,2019-04-10,43573,3.6742513754487
450,2019-04-11,43334,5.888388799977701
451,2019-04-12,41487,6.5323375369317
452,2019-04-13,36271,4.633583681359
453,2019-04-14,35445,4.688104285784
454,2019-04-15,49277,6.784010757513999
455,2019-04-16,46347,4.838909039963999
456,2019-04-17,45059,4.6820796184747
457,2019-04-18,41934,5.5921382727080005
458,2019-04-19,40912,7.274587043592001
459,2019-04-20,36868,4.033072165137
460,2019-04-21,35721,2.347174840287
461,2019-04-22,42413,6.872263248763
462,2019-04-23,53478,4.588903284637
463,2019-04-24,47323,4.545914644081
464,2019-04-26,42104,8.491724711071
465,2019-04-27,34540,6.769129966895999
466,2019-04-28,35339,6.065364273662001
467,2019-04-29,41394,5.195026038631999
468,2019-04-30,44024,8.82777850512
469,2019-05-01,43581,7.316319850559999
470,2019-05-02,46493,6.028561119951999
471,2019-05-03,50629,5.8933955362827
472,2019-05-04,38830,5.320777838041701
473,2019-05-05,34464,5.137334025156
474,2019-05-06,44409,5.305621887887001
475,2019-05-07,49239,4.8771047666200005
476,2019-05-08,59483,6.137849461416
477,2019-05-09,53304,4.241875816181
478,2019-05-10,54094,6.313914777899999
479,2019-05-11,57091,6.366393964699999
480,2019-05-12,52431,4.362775087932
481,2019-05-13,84045,5.1167150119
482,2019-05-14,80159,7.69031179452
483,2019-05-15,65210,7.505615018321
484,2019-05-16,59243,5.095576846536
485,2019-05-17,52012,3.321287415129
486,2019-05-18,40649,4.6710048089307
487,2019-05-19,46569,6.18097799981
488,2019-05-20,58097,4.43318995701
489,2019-05-21,60340,6.0307420305487005
490,2019-05-22,58381,6.772787308409001
491,2019-05-23,52877,8.661079787676
492,2019-05-24,51826,4.224280334
493,2019-05-26,44593,6.316379608156
494,2019-05-27,59063,4.446797543883
495,2019-05-28,53527,5.536402876782001
496,2019-05-29,53100,5.016149568647
497,2019-05-30,56278,5.1588251757600005
498,2019-05-31,49236,4.163967490375
499,2019-06-01,38222,2.536334489188
500,2019-06-02,38378,6.949411303560001
501,2019-06-03,44170,6.006759417880001
502,2019-06-04,45660,4.828968489736
503,2019-06-05,43167,2.8160902586937
504,2019-06-06,40456,2.8867021770287
505,2019-06-07,42152,2.292599031852
506,2019-06-08,34306,3.1044258210197
507,2019-06-09,32680,5.8834882913337
508,2019-06-10,38418,3.87962619794
509,2019-06-11,38518,6.535560421297
510,2019-06-12,37855,5.61088557486
511,2019-06-13,43388,3.882139113247
512,2019-06-14,44784,3.0986328628760003
513,2019-06-15,38435,3.1929579123000003
514,2019-06-16,48980,3.500862149926
515,2019-06-17,59119,3.773674826002
516,2019-06-18,61776,3.56600360094
517,2019-06-19,52620,3.10595573445
518,2019-06-20,49762,6.920123081257
519,2019-06-21,62624,7.105359762996
520,2019-06-22,91029,6.388731988877001
521,2019-06-23,53233,2.451227564431
522,2019-06-25,66089,6.134715653457
523,2019-06-26,104718,2.2789014568417
524,2019-06-27,73066,4.033513984168
525,2019-06-28,60840,8.1121268558427
526,2019-06-29,45420,3.6093609891637
527,2019-06-30,40742,3.676949152177
528,2019-07-01,51972,7.0380731908157
529,2019-07-02,56405,3.2371949403317
530,2019-07-03,57584,5.034877768537
531,2019-07-04,49233,2.936746301536
532,2019-07-05,44324,5.816551821616
533,2019-07-06,36045,4.969707344132
534,2019-07-07,35846,6.910027022697001
535,2019-07-08,49753,6.11079737212
536,2019-07-09,54376,4.6129358817537005
537,2019-07-10,63575,6.492663183378999
538,2019-07-11,52682,3.6135027350547
539,2019-07-12,82417,4.1569097973827
540,2019-07-13,53568,5.099850154156001
541,2019-07-14,48391,5.3305272446767
542,2019-07-15,57548,5.0618394979120005
543,2019-07-16,59595,6.223174152031
544,2019-07-17,61847,8.639762539266
545,2019-07-18,60408,5.06925004926
546,2019-07-19,56523,5.362793353077
547,2019-07-20,44112,3.270507906773
548,2019-07-21,40759,3.3314752699297
549,2019-07-22,52221,5.318730636657
550,2019-07-23,48017,7.196416717860001
551,2019-07-25,52515,7.494074460043
552,2019-07-26,73683,3.808149008307
553,2019-07-27,44965,7.332576504711
554,2019-07-28,36040,6.5651840998287
555,2019-07-29,46267,5.056477500901
556,2019-07-30,46431,4.647855880101
557,2019-07-31,50559,6.161998123536
558,2019-08-01,51873,6.3864226252497
559,2019-08-02,49812,3.699761493061
560,2019-08-03,38964,4.637377094066
561,2019-08-04,37300,3.3535482358860005
562,2019-08-05,58022,1.901412052605
563,2019-08-06,54331,5.070426311909
564,2019-08-07,50613,6.2562208893627
565,2019-08-08,45423,3.328110132031
566,2019-08-09,46521,1.848058731009
567,2019-08-10,37258,4.217403329773
568,2019-08-11,34767,5.5322260731277
569,2019-08-12,46676,5.592731279991
570,2019-08-13,50144,6.750986118051
571,2019-08-14,52313,4.0941412602047
572,2019-08-15,48302,
573,2019-08-16,46781,
574,2019-08-17,37463,
575,2019-08-18,35171,
576,2019-08-19,42995,
577,2019-08-20,46839,
578,2019-08-21,48365,
579,2019-08-22,46339,
580,2019-08-24,38269,
581,2019-08-25,34492,
582,2019-08-26,41949,
583,2019-08-27,47380,
